,,,,,,IG Start,LI Start,TT Start,,URLs for ease,Legend
Week,IG_Follower_Growth,LinkedIn_Follower_Growth,TikTok_Follower_Growth,Notes,,1819,14854,636,,Instagram,Gain
2025-08-01,-2,10,4,,,1817,14864,640,,LinkedIn,Loss
2025-08-02,-1,14,3,,,1816,14878,643,,TikTok,Even
2025-08-03,-2,12,5,,,1814,14890,648,,,
2025-08-04,-2,11,2,,,1812,14901,650,,"Do not change titles, this file is actively being used in a Python script",
2025-08-05,-3,9,5,,,1809,14910,655,,,
2025-08-06,5,12,14,,,1814,14922,669,,Formulas and conditional formatting need to be changed monthly,
2025-08-07,-2,45,0,,,1812,14967,669,,"Not sure is VBA can be used to automate, need manual social follower entries anyway",
2025-08-08,-2,21,0,,,1810,14988,669,,,
2025-08-09,-4,35,-1,,,1806,15023,668,,LI growth accurate on mobile versions of the application,
2025-08-10,1,57,14,,,1807,15080,682,,Estimated based on what factors:,
2025-08-11,1,69,17,,,1808,15149,699,,Job application growth,
2025-08-12,-3,30,0,,,1805,15179,699,,Organic growth,
2025-08-13,-28,24,16,,,1777,15203,715,,Reposts/shares,
2025-08-14,0,12,0,,,1777,15215,715,,,
2025-08-15,,,,,,,,,,,
2025-08-16,,,,,,,,,,,
2025-08-17,,,,,,,,,,,
2025-08-18,,,,,,,,,,,
2025-08-19,,,,,,,,,,,
2025-08-20,,,,,,,,,,,
2025-08-21,,,,,,,,,,,
2025-08-22,,,,,,,,,,,
2025-08-23,,,,,,,,,,,
2025-08-24,,,,,,,,,,,
2025-08-25,,,,,,,,,,,
2025-08-26,,,,,,,,,,,
2025-08-27,,,,,,,,,,,
2025-08-28,,,,,,,,,,,
2025-08-29,,,,,,,,,,,
2025-08-30,,,,,,,,,,,
2025-08-31,,,,,,,,,,,
Total Growth:,-42,361,79,,,,,,,,
Total Followers:,,,,,,,,,,,